series_animedb_id,Anime Title,Anime Type,Episode Count,Watched Episodes,My Start Date,My Finish Date,My Score,My Status,Tags
42429,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 3rd Season,TV,10,10,13-04-2022,14-06-2022,7,Completed,
42897,Horimiya,TV,13,13,11-01-2021,04-04-2021,8,Completed,
54856,Horimiya: Piece,TV,13,13,01-07-2023,23-09-2023,9,Completed,
56425,Houkago Shounen Hanako-kun,TV,4,4,12-10-2023,03-11-2023,7,Completed,
39730,Houkago Teibou Nisshi,TV,12,12,08-04-2020,23-09-2020,7,Completed,
31338,Hundred,TV,12,12,0000-00-00,0000-00-00,6,Completed,
136,Hunter x Hunter,TV,62,0,0000-00-00,0000-00-00,0,Plan to Watch,
11061,Hunter x Hunter (2011),TV,148,148,0000-00-00,0000-00-00,10,Completed,#2
138,Hunter x Hunter: Greed Island,OVA,8,0,0000-00-00,0000-00-00,0,Plan to Watch,
139,Hunter x Hunter: Greed Island Final,OVA,14,0,0000-00-00,0000-00-00,0,Plan to Watch,
137,Hunter x Hunter: Original Video Animation,OVA,8,0,0000-00-00,0000-00-00,0,Plan to Watch,
12189,Hyouka,TV,22,22,04-04-2020,13-04-2020,9,Completed,
488,Ichigo Mashimaro,TV,12,0,0000-00-00,0000-00-00,0,Plan to Watch,
1316,Idaten Jump,TV,52,52,0000-00-00,0000-00-00,7,Completed,One of the few anime I watched on tv
42361,"Ijiranaide, Nagatoro-san",TV,12,12,13-04-2021,28-06-2021,7,Completed,
822,Initial D Extra Stage,OVA,2,2,27-08-2023,29-08-2023,8,Completed,
5228,Initial D Extra Stage 2,OVA,1,1,04-09-2023,04-09-2023,6,Completed,
15059,Initial D Fifth Stage,TV,14,14,04-09-2023,10-09-2023,9,Completed,
22507,Initial D Final Stage,TV,4,4,10-09-2023,10-09-2023,9,Completed,
185,Initial D First Stage,TV,26,26,20-08-2023,25-08-2023,10,Completed,
18,Initial D Fourth Stage,TV,24,24,30-08-2023,04-09-2023,9,Completed,
186,Initial D Second Stage,TV,13,13,26-08-2023,27-08-2023,9,Completed,
187,Initial D Third Stage,Movie,1,1,29-08-2023,29-08-2023,7,Completed,
49220,Isekai Ojisan,TV,13,13,09-07-2022,12-03-2023,8,Completed,
38472,Isekai Quartet,TV,12,12,15-03-2020,15-03-2020,7,Completed,
39988,Isekai Quartet 2,TV,12,12,18-03-2020,01-04-2020,8,Completed,
52367,Isekai Shikkaku,TV,12,12,09-07-2024,25-09-2024,7,Completed,
38790,Itai no wa Iya nanode Bougyoryoku ni Kyokufuri Shitai to Omoimasu.,TV,12,12,11-01-2020,26-03-2020,8,Completed,A light hearted version of rising of the shield hero
41514,Itai no wa Iya nanode Bougyoryoku ni Kyokufuri Shitai to Omoimasu. 2,TV,12,12,12-01-2023,28-04-2023,7,Completed,
40530,Jaku-Chara Tomozaki-kun,TV,12,12,09-01-2021,26-03-2021,6,Completed,
50803,Jaku-Chara Tomozaki-kun 2nd Stage,TV,13,13,05-01-2024,28-03-2024,5,Completed,
45604,Jaku-Chara Tomozaki-kun Specials,Special,2,2,0000-00-00,05-01-2023,6,Completed,
39534,Jibaku Shounen Hanako-kun,TV,12,12,12-01-2020,31-03-2020,8,Completed,Absolutely beautiful and stunning watercolor animation
53924,Jibaku Shounen Hanako-kun 2,TV,0,0,0000-00-00,0000-00-00,0,Plan to Watch,
46569,Jigokuraku,TV,13,13,02-04-2023,01-07-2023,7,Completed,
55825,Jigokuraku 2nd Season,TV,0,0,0000-00-00,0000-00-00,0,Plan to Watch,
14719,JoJo no Kimyou na Bouken (TV),TV,26,26,27-10-2019,03-11-2019,9,Completed,A fun fucking show
20899,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders,TV,24,24,03-11-2019,09-11-2019,8,Completed,
26055,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season,TV,24,24,10-11-2019,13-11-2019,9,Completed,
31933,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,TV,39,39,14-11-2019,25-11-2019,10,Completed,#9
37991,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,TV,39,39,15-12-2019,11-01-2020,8,Completed,
